id,name,parent_id
841, موڑ ایمن آباد,363
842, نوشہرہ روڈ,363
843, تلونڈی راہوالی سب ٹاؤن,364
844, ڈی سی کالونی سب ٹاؤن,364
845, پیپلزکالونی,365
846, فریدٹاؤن,365
847, ماسٹر سٹی سب ٹاون,365
848, دودھو چک,366
849, سکھو چک,366
850, میونسپل شکرگڑھ,366
851, نیناں کوٹ,366
852, درمان,367
853, دہمتھل,367
854, ظفر وال,367
855, بدوملہی,368
856, تلونڈی بھنڈراں,368
857, سدووالہ,368
858, قلعہ  احمد آباد  ,368
859, نارووال,368
860, اطراف جہانیاں,369
861, ٹھٹھہ صادق آباد,369
862, جہانیاں,369
863, اعوان چوک,370
864, پیرووال,370
865, چک شہانہ,370
866, عابد حیسن عطاری,370
867, کچا کھوہ,370
868, مخدوم پور روڈ,370
869, میونسپل کمیٹی خانیوال سٹی,370
870, جودھ پور,371
871, سرائے سدھو,371
872, کبیر والا میونسپل کمیٹی,371
873," ککڑہٹہ، ابراہیم پور",371
874, کوہی والا,371
